date,symbol,open,high,low,close,volume,dollar_volume
2020-01-02,DD,71.6704,72.0685,70.2104,70.2325,4753949,378923560
2020-01-02,DDOG,38.22,38.25,36.6,36.7,1784200,65480141
2020-01-02,DE,159.5927,162.0108,159.1256,161.9925,1591100,281401947
2020-01-02,DECK,28.2883,28.7017,28.1583,28.695,1627200,46692504
2020-01-02,DELL,23.9695,24.2274,23.7347,24.0754,4278253,113385635
2020-01-02,DG,142.3716,142.5258,140.8205,141.9997,1918500,300321977
2020-01-02,DGX,93.4221,93.4746,91.8558,92.5208,1020900,107939760
2020-01-02,DHI,49.3415,49.4906,48.5774,48.9874,3492000,183574439
2020-01-02,DHR,132.4163,133.5172,131.7024,133.4054,2915993,400974889
2020-01-02,DIS,140.8678,143.6893,140.6836,143.6893,9502100,1408211191
2020-01-02,DLR,96.3965,96.6776,94.3483,94.782,1071900,126484200
2020-01-02,DLTR,94.69,94.69,93.3,93.78,2191500,205518867
2020-01-02,DOC,24.1894,24.2173,23.3924,23.5462,5490200,184909938
2020-01-02,DOV,106.4648,107.1248,105.9698,107.1248,937500,109565628
2020-01-02,DOW,38.693,38.9102,37.5791,37.6562,5145200,276554500
2020-01-02,DPZ,270.4082,271.6139,268.8803,270.0492,500000,146699997
2020-01-02,DRI,90.6442,92.675,90.3057,92.675,2745500,308209836
2020-01-02,DTE,88.9017,88.9017,87.3631,88.0127,1096980,120154319
2020-01-02,DUK,70.059,70.4428,69.0996,69.3375,3921800,354295398
2020-01-02,DVA,75.26,75.4,74.61,75.25,1310700,98630175
2020-01-02,DVN,18.8099,18.8601,18.3937,18.5085,5091400,131307211
2020-01-02,DXCM,54.64,55.6575,53.4225,54.845,3410400,187043392
2020-01-02,EBAY,32.6927,32.7736,32.4503,32.594,4979300,180748586
2020-01-02,ECHO,43.76,43.96,43.01,43.21,402100,17374741
2020-01-02,ECL,180.6649,180.8795,177.1106,177.4651,1590500,302560808
2020-01-02,ED,71.0873,71.1659,69.4544,69.7606,1335100,118636987
2020-01-02,EFX,133.5618,135.3753,132.4414,135.1949,832900,118596630
2020-01-02,EG,242.4729,242.8219,239.8467,242.6911,181300,50428594
2020-01-02,EIX,55.0546,55.6958,54.7599,54.8115,2632200,195783029
2020-01-02,EL,189.5836,190.7952,188.9135,189.3266,1138700,234868256
2020-01-02,ELV,276.224,276.3609,271.232,274.5813,1200500,361194429
2020-01-02,EME,85.0739,85.0739,83.5708,84.4785,185300,16037716
2020-01-02,EMR,66.2192,67.0234,65.9684,67.0061,2532300,196202613
2020-01-02,EOG,62.7146,62.9303,62.1345,62.5807,2496400,210047094
2020-01-02,EQIX,514.5002,515.3813,507.5569,510.4822,448500,259838464
2020-01-02,EQT,10.1566,10.2306,9.5085,9.5918,9285400,96196741
2020-01-02,ERIE,145.0618,145.3584,142.924,144.0932,72500,11972650
2020-01-02,ES,66.8534,66.8534,65.3202,65.4382,3278200,272844597
2020-01-02,ESS,239.5093,240.3652,234.4613,236.3791,412400,123010671
2020-01-02,ETN,84.764,85.3336,83.874,85.3247,2380800,228247303
2020-01-02,ETR,47.2755,47.2755,46.3405,46.5259,2906200,171364083
2020-01-02,EVRG,50.2173,50.3098,48.7991,48.8993,2008000,127387517
2020-01-02,EW,76.6667,77.9167,76.63,77.5,4137000,320617500
2020-01-02,EXC,25.8839,25.8839,25.5842,25.686,7026544,227686090
